bioGuideId,total_mentions,unique_orgs,avg_prominence,unique_policy_areas,memberName,party,state,chamber
W000799,2,2,1.0,0,"Walz, Timothy J.",D,MN,H
W000800,10,2,0.0,0,"Welch, Peter",D,VT,H
W000802,57,26,0.7543859649122807,2,"Whitehouse, Sheldon",D,RI,S
W000804,17,13,0.23529411764705882,1,"Wittman, Robert J.",R,VA,H
W000805,11,7,0.18181818181818182,1,"Warner, Mark R.",D,VA,S
W000806,22,6,0.09090909090909091,0,"Webster, Daniel",R,FL,H
W000810,239,56,0.602510460251046,4,"Woodall, Rob",R,GA,H
W000812,23,5,0.6521739130434783,0,"Wagner, Ann",R,MO,H
W000813,14,8,0.14285714285714285,0,"Walorski, Jackie",R,IN,H
W000814,1,1,0.0,0,"Weber, Randy K. Sr.",R,TX,H
W000815,19,10,0.5263157894736842,0,"Wenstrup, Brad R.",R,OH,H
W000816,12,3,0.5,0,"Williams, Roger",R,TX,H
W000817,37,10,0.24324324324324326,2,"Warren, Elizabeth",D,MA,S
W000819,7,5,0.7142857142857143,1,"Walker, Mark",R,NC,H
W000820,5,5,0.0,0,"Walters, Mimi",R,CA,H
W000821,30,16,0.7,1,"Westerman, Bruce",R,AR,H
W000822,73,18,0.7123287671232876,2,"Watson Coleman, Bonnie",D,NJ,H
Y000033,51,16,0.7254901960784313,2,"Young, Don",R,AK,H
Y000063,6,4,0.8333333333333334,0,"Yoder, Kevin",R,KS,H
Y000064,25,10,0.48,0,"Young, Todd",R,IN,H
Y000065,1,1,0.0,0,"Yoho, Ted S.",R,FL,H
Y000066,189,36,0.015873015873015872,0,"Young, David",R,IA,H
Z000017,11,10,0.36363636363636365,2,"Zeldin, Lee M.",R,NY,H
Z000018,1,1,0.0,0,"Zinke, Ryan K.",R,MT,H
