org_id,total_mentions,avg_prominence,sum_prominence,prominence_rate,unique_policy_areas,most_common_policy,CATEGORY,LOCATION,FOUNDED,MSHIP_STATUS11,LOBBYING11,ABBREVCAT
1912,52,0.15384615384615385,8,0.15384615384615385,2,100.0,(1602) Women,DC,1920,(2) Association of individuals,473.871994,(8) Identity groups
1916,221,0.18099547511312217,40,0.18099547511312217,3,100.0,(803) Government corporation,DC,1974,(5) Mixed,0.0,(14) State and local governments
1919,21,0.09523809523809523,2,0.09523809523809523,0,,(1802) Particular illness,DC,1949,(1) Institution,480.0,(16) Other
1925,35,0.05714285714285714,2,0.05714285714285714,2,100.0,(2201) Charity-philanthropy,DC,1979,(5) Mixed,1480.0,(16) Other
1942,4,0.5,2,0.5,0,,(1802) Particular illness,DC,1977,(1) Institution,128.6190033,(16) Other
1947,1,1.0,1,1.0,1,100.0,(204) Trade associations,DC,1941,(3) Association of institutions,0.0,(2) Trade and other business associations
1955,2,1.0,2,1.0,1,1500.0,(204) Trade associations,DC,1985,(3) Association of institutions,101.95500183,(2) Trade and other business associations
1956,15,0.5333333333333333,8,0.5333333333333333,1,1500.0,(204) Trade associations,DC,1936,(3) Association of institutions,970.4420166,(2) Trade and other business associations
1958,3,1.0,3,1.0,2,1000.0,(205) Other business assocations,DC,1933,(3) Association of institutions,0.0,(2) Trade and other business associations
1959,4,0.0,0,0.0,0,,(204) Trade associations,DC,1924,(3) Association of institutions,0.0,(2) Trade and other business associations
1961,86,0.5348837209302325,46,0.5348837209302325,3,100.0,(1802) Particular illness,DC,1938,(1) Institution,507.0,(16) Other
1962,44,0.06818181818181818,3,0.06818181818181818,0,,(1301) Veterans,DC,1923,(2) Association of individuals,0.0,(16) Other
1966,1,0.0,0,0.0,0,,(303) Professional association,DC,1963,(2) Association of individuals,130.0,(3) Occupational associations
1988,63,0.12698412698412698,8,0.12698412698412698,4,100.0,(204) Trade associations,DC,1962,(3) Association of institutions,20.0,(2) Trade and other business associations
1992,2,0.0,0,0.0,0,,(204) Trade associations,DC,1889,(3) Association of institutions,80.0,(2) Trade and other business associations
1996,14,0.7142857142857143,10,0.7142857142857143,0,,(1105) Single issue PIG - cons,DC,1987,(1) Institution,0.0,(7) Public interest
1997,12,0.5,6,0.5,1,1200.0,(204) Trade associations,DC,1992,(3) Association of institutions,1220.0,(2) Trade and other business associations
1998,5,0.2,1,0.2,1,100.0,"(301) Association of business professionals, managers, executives, and administrators",DC,1926,(2) Association of individuals,1187.8280334,(3) Occupational associations
2001,4,0.0,0,0.0,0,,(303) Professional association,DC,1907,(2) Association of individuals,24.01399994,(3) Occupational associations
2026,80,0.375,30,0.375,4,1200.0,(1301) Veterans,DC,1932,(2) Association of individuals,80.0,(16) Other
2045,7,0.0,0,0.0,0,,(204) Trade associations,DC,1997,(3) Association of institutions,0.0,(2) Trade and other business associations
2054,16,0.4375,7,0.4375,4,1500.0,(204) Trade associations,DC,1914,(3) Association of institutions,6081.699951,(2) Trade and other business associations
2055,63,0.12698412698412698,8,0.12698412698412698,4,100.0,(204) Trade associations,DC,1973,(3) Association of institutions,10340.0,(2) Trade and other business associations
2057,11,0.36363636363636365,4,0.36363636363636365,1,100.0,(204) Trade associations,DC,1922,(3) Association of institutions,5717.5,(2) Trade and other business associations
2058,7,0.7142857142857143,5,0.7142857142857143,1,1200.0,(204) Trade associations,DC,1904,(3) Association of institutions,784.4220276,(2) Trade and other business associations
2060,15,0.4,6,0.4,3,1500.0,(204) Trade associations,DC,1914,(3) Association of institutions,580.0,(2) Trade and other business associations
2061,4,0.25,1,0.25,3,100.0,(1101) Consumer,DC,1979,(5) Mixed,420.0,(7) Public interest
2067,16,0.1875,3,0.1875,0,,(804) Consortium of governments,DC,1967,(4) Government or association of governments,200.0,(14) State and local governments
2068,6,0.0,0,0.0,0,,(806) Other government,DC,1975,(4) Government or association of governments,0.0,(14) State and local governments
2075,34,0.29411764705882354,10,0.29411764705882354,3,100.0,(1402) African-Americans,DC,1939,(1) Institution,588.9200134,(8) Identity groups
2076,4,0.75,3,0.75,0,,(303) Professional association,DC,1972,(2) Association of individuals,0.0,(3) Occupational associations
2078,35,0.3142857142857143,11,0.3142857142857143,1,1600.0,(303) Professional association,DC,1948,(2) Association of individuals,301.5550079,(3) Occupational associations
2085,11,0.45454545454545453,5,0.45454545454545453,3,1200.0,(1405) Native Americans,DC,1970,(1) Institution,0.0,(8) Identity groups
2086,291,0.06529209621993128,19,0.06529209621993128,4,400.0,(1501) Children or youth,DC,1921,(2) Association of individuals,0.0,(16) Other
2088,11,0.09090909090909091,1,0.09090909090909091,2,1200.0,(702) Other health,DC,1977,(2) Association of individuals,0.0,(6) Health
2091,2,0.0,0,0.0,0,,(2304) Other non-profit research,DC,1967,(1) Institution,40.0,(16) Other
2093,590,0.1576271186440678,93,0.1576271186440678,15,100.0,(2304) Other non-profit research,DC,1863,(1) Institution,0.0,(16) Other
2094,1,0.0,0,0.0,0,,(606) Other educational,DC,1969,(1) Institution,205.77400212,(5) Education
2095,2,0.0,0,0.0,0,,(204) Trade associations,DC,1905,(3) Association of institutions,0.0,(2) Trade and other business associations
2096,7,0.14285714285714285,1,0.14285714285714285,1,1500.0,(204) Trade associations,DC,1985,(5) Mixed,871.75,(2) Trade and other business associations
2097,2,0.5,1,0.5,0,,(204) Trade associations,DC,1966,(3) Association of institutions,175.63199618,(2) Trade and other business associations
2098,1,0.0,0,0.0,0,,(1802) Particular illness,DC,1988,(1) Institution,0.0,(16) Other
2100,10,0.2,2,0.2,2,100.0,(402) White collar union - public,DC,1987,(2) Association of individuals,1376.0,(4) Unions
2101,2,0.0,0,0.0,0,,(204) Trade associations,DC,1974,(3) Association of institutions,800.0,(2) Trade and other business associations
